Price,Close,High,Low,Open,Volume
Ticker,SOXL,SOXL,SOXL,SOXL,SOXL
Date,,,,,
2021-12-31,65.99922180175781,68.02742541205916,65.8245433766361,66.66881626153749,10152000
2022-01-03,69.96826934814453,69.97797575836147,66.36796115511558,67.00845096064319,15794800
2022-01-04,68.9687271118164,72.01588852965591,64.08744647762836,70.43408416428764,21988000
2022-01-05,62.11747741699219,69.30838892864227,62.0495436366971,67.53249307455899,20821000
2022-01-06,63.60224914550781,64.42711661528448,60.021345096874356,62.195115316995334,19343100
2022-01-07,57.97372055053711,64.09715955305953,57.39145801213185,63.155837522213446,22625900
2022-01-10,58.22602844238281,58.41040953309566,52.22874721666449,55.64467466284695,25112700
2022-01-11,61.418766021728516,61.56432889411899,56.168718462884634,57.34294266229524,22053900
2022-01-12,62.67061996459961,64.43680927980597,60.78797592172965,63.06849399409383,19392000
2022-01-13,58.42012405395508,67.13462040965729,57.81845604639708,65.5042910908,28866500
2022-01-14,62.57358932495117,62.63181299735334,56.828617959537716,57.02270180342766,23880600
2022-01-18,54.324893951416016,59.56523894301473,53.859086083571306,59.109133786163675,29055200
2022-01-19,49.317447662353516,56.440432226318144,49.23010846830568,55.78053691615925,28683300
2022-01-20,44.630252838134766,51.62707976483172,44.45557445505704,50.57900946636536,32438800
2022-01-21,42.417667388916016,47.48333383108661,42.11683523134965,43.883024737640596,45826500
2022-01-24,44.106224060058594,44.135335894139686,35.53729044787711,39.787792213569325,53548700
2022-01-25,39.00173568725586,42.0683065514467,38.215686626119506,40.53502297030699,40326300
2022-01-26,40.87467956542969,45.70744050291407,38.91440241616774,42.48559987792448,46405000
2022-01-27,35.284976959228516,42.1653534120762,34.935620165269974,42.11683245778452,50033700
2022-01-28,37.27436447143555,37.27436447143555,32.12135933427963,35.294678505554145,43946700
2022-01-31,43.26194763183594,43.42691962780604,37.167619857270644,37.83722165762683,39362500
2022-02-01,44.55261993408203,44.73700104128955,41.03965027365769,44.53321081196889,37795600
2022-02-02,47.88120651245117,48.03647578104071,45.086355975928164,47.03693009586503,40548600
2022-02-03,41.36959457397461,46.386735621091056,40.90378678695904,44.23237506888293,32875300
2022-02-04,42.1750602722168,43.203721633214236,39.176419098220215,40.835864032813504,30575600
2022-02-07,42.12653350830078,44.17414953518288,41.592795628295875,42.349732850778786,28382000
2022-02-08,45.22220993041992,45.49393388967492,41.28225139128648,41.48604158429458,33686800
2022-02-09,49.511531829833984,49.71532203488722,45.32896091125897,46.99810819511081,35302800
2022-02-10,45.04753875732422,50.66635178911041,44.23237785513244,46.17324560757715,51371000
2022-02-11,38.37095260620117,46.24117116590431,37.28406410562358,45.183398196069156,51212800
2022-02-14,38.41948318481445,40.61266245173037,36.740632766362495,38.57475248068538,43218400
2022-02-15,44.64966583251953,44.921389864472516,40.43798220732274,40.66118528061293,39910800
2022-02-16,44.73700714111328,45.12518223248007,41.76748138923184,42.76702725192009,35357600
2022-02-17,39.66162872314453,43.077556173835156,39.46754122103154,42.815538601269296,41858900
2022-02-18,38.45829391479492,40.127437593574136,36.65328638952007,39.92364737669764,46904100
2022-02-22,37.46845245361328,40.3312331212387,35.74108134314265,37.099686545094215,49765600
2022-02-23,34.84828186035156,40.07892008802418,34.57656154782154,38.88528681266665,52830600
2022-02-24,38.759132385253906,38.86588071689315,30.617191768407707,30.86950482894668,68362100
2022-02-25,40.54472732543945,40.602954692368954,37.03175762941401,38.81735616089148,40949000
2022-02-28,39.79749298095703,40.98142353459955,37.41993286533425,39.01144388385671,43350600
2022-03-01,35.49847412109375,40.07891964820371,34.304837156923405,39.57429357196307,46635000
2022-03-02,38.933807373046875,39.67133921658801,36.12925396974724,36.362159736631696,41485400
2022-03-03,36.439796447753906,39.66163707475974,35.731380062493606,39.44814410919996,45902800
2022-03-04,33.74198532104492,36.313632795715236,32.373673744177175,35.54699286966011,46799000
2022-03-07,28.705434799194336,34.54744549310554,28.627800160931738,33.79050823278413,50665800
2022-03-08,30.238718032836914,33.32469791227943,27.63795506900597,28.792771846429098,68456500
2022-03-09,33.89725875854492,34.605675110122725,32.09225098788092,33.11120591270072,46482400
2022-03-10,31.781709671020508,32.21840565879087,29.88936285862325,32.09224821745466,43831500
2022-03-11,29.782617568969727,33.40233380096336,29.59823460561792,33.15002261021561,34118300
2022-03-14,27.084810256958008,29.937886468195938,26.492844980056276,29.122721836413675,49351500
2022-03-15,30.5783748626709,30.78216510955058,27.181855940362215,27.608847408862964,42082900
2022-03-16,35.22675323486328,35.32379885539127,31.112115174186243,32.06314004388907,55754000
2022-03-17,35.85752868652344,35.90604963483695,33.305286824593175,34.207790530486555,37147500
2022-03-18,38.01189422607422,38.4971111778612,34.54744548646813,35.527585802148295,39797700
2022-03-21,37.846923828125,38.78824593871832,35.78960490272118,37.55579438521408,38312100
2022-03-22,38.42637634277344,39.8143462767259,37.49459341863892,37.64989057266134,34654100
2022-03-23,35.611610412597656,38.81462015471396,35.514551082111275,37.378116885997876,38313200
2022-03-24,40.8528938293457,41.00819097249946,36.20368028372694,36.708396924620665,44687200
2022-03-25,40.775238037109375,41.12465748883702,38.581665716094804,40.83347584658914,36316000
2022-03-28,41.454673767089844,41.55173680496836,38.16431268582257,39.98905706959922,35741000
2022-03-29,44.240318298339844,44.647971916866055,41.84291514319685,43.52206668619595,40148500
2022-03-30,40.134639739990234,43.87148280073588,39.48433415040473,43.39588324661345,38435700
2022-03-31,37.64017868041992,40.61024062158981,37.290759192920426,40.04728618004599,38547400
2022-04-01,35.2233772277832,38.1740274432427,33.602459389343025,37.9216672036882,57428500
2022-04-04,36.84428787231445,37.096648087955515,35.10689823548559,35.50485116804085,28200500
2022-04-05,31.913585662841797,36.14543628475156,31.573870709571093,35.99984363298198,57649600
2022-04-06,29.61325454711914,31.156519785156423,28.691176074427027,29.943261462527595,69146900
2022-04-07,29.61325454711914,30.496507805627623,27.817629119464453,29.360896208789846,55657300
2022-04-08,27.458499908447266,29.079413414460035,27.322613536005807,28.982354100086106,71608900
2022-04-11,25.711408615112305,26.895549843003668,25.56581776885085,26.24524418645504,60558200
2022-04-12,25.4687557220459,27.99233709287214,25.099925467298736,27.215851371673907,66793200
2022-04-13,27.206144332885742,27.701154660993748,25.536697300532172,25.983177966610896,50484000
2022-04-14,24.85727310180664,27.77880359546754,24.789330833559077,27.710859475932015,51193200
2022-04-18,26.1870059967041,26.85672610158436,24.420499557452658,24.517560737350788,49251700
2022-04-19,27.904983520507812,28.04086806523897,25.449344304239418,25.89582500323734,45358800
2022-04-20,27.66232681274414,29.94325588510516,27.409968521420716,29.18618101113488,51891900
2022-04-21,25.439638137817383,29.671490166904864,25.051395257003872,28.730000949521088,53808500
2022-04-22,23.731369018554688,25.779350870789784,23.653720443843707,25.332872029023665,57459200
2022-04-25,24.915508270263672,25.002863141298494,22.983998507593046,23.1878253058157,58210600
2022-04-26,21.77073860168457,24.168139790527736,21.693090032649227,23.983723744835828,55039200
2022-04-27,21.304851531982422,22.896648447451994,20.84866447599666,20.98455088798456,52406400
2022-04-28,24.828155517578125,25.526992694193915,21.741621414437624,22.518109017521006,63555800
2022-04-29,21.586326599121094,25.187284059404874,21.450442040679985,23.585779014745448,48104400
2022-05-02,23.779897689819336,23.828427352752755,21.168961465923438,21.722207769031524,57669900
2022-05-03,24.371971130371094,24.925217477201098,23.051943459837666,23.61489611027902,53115700
2022-05-04,27.196441650390625,27.312913595279866,22.61516985554818,24.934924664835805,77054200
2022-05-05,23.284887313842773,25.837587567724228,22.08133353246933,25.750232693558672,64302700
2022-05-06,22.6636962890625,24.139020836008974,21.29513921037687,22.55692882080165,73607500
2022-05-09,19.140392303466797,21.935744848981262,18.752149408614276,21.17866981555273,72482100
2022-05-10,20.470125198364258,21.498969277124367,19.140391272424452,20.8195447105533,72934500
2022-05-11,18.587146759033203,21.353380514067815,18.412436985893805,19.926587118909776,76546000
2022-05-12,18.83950424194336,19.4024569008247,17.432121669095938,17.965957267994817,79889100
