Date,SOXL
2021-12-31,68.01000213623047
2022-01-03,72.0999984741211
2022-01-04,71.06999969482422
2022-01-05,64.01000213623047
2022-01-06,65.54000091552734
2022-01-07,59.7400016784668
2022-01-10,60.0
2022-01-11,63.290000915527344
2022-01-12,64.58000183105469
2022-01-13,60.20000076293945
2022-01-14,64.4800033569336
2022-01-18,55.97999954223633
2022-01-19,50.81999969482422
2022-01-20,45.9900016784668
2022-01-21,43.709999084472656
2022-01-24,45.45000076293945
2022-01-25,40.189998626708984
2022-01-26,42.119998931884766
2022-01-27,36.36000061035156
2022-01-28,38.40999984741211
2022-01-31,44.58000183105469
2022-02-01,45.90999984741211
2022-02-02,49.34000015258789
2022-02-03,42.630001068115234
2022-02-04,43.459999084472656
2022-02-07,43.40999984741211
2022-02-08,46.599998474121094
2022-02-09,51.02000045776367
2022-02-10,46.41999816894531
2022-02-11,39.540000915527344
2022-02-14,39.59000015258789
2022-02-15,46.0099983215332
2022-02-16,46.099998474121094
2022-02-17,40.869998931884766
2022-02-18,39.630001068115234
2022-02-22,38.61000061035156
2022-02-23,35.90999984741211
2022-02-24,39.939998626708984
2022-02-25,41.779998779296875
2022-02-28,41.0099983215332
2022-03-01,36.58000183105469
2022-03-02,40.119998931884766
2022-03-03,37.54999923706055
2022-03-04,34.77000045776367
2022-03-07,29.579999923706055
2022-03-08,31.15999984741211
2022-03-09,34.93000030517578
2022-03-10,32.75
2022-03-11,30.690000534057617
2022-03-14,27.90999984741211
2022-03-15,31.510000228881836
2022-03-16,36.29999923706055
2022-03-17,36.95000076293945
2022-03-18,39.16999816894531
2022-03-21,39.0
2022-03-22,39.59000015258789
2022-03-23,36.689998626708984
2022-03-24,42.09000015258789
2022-03-25,42.0099983215332
2022-03-28,42.709999084472656
2022-03-29,45.58000183105469
2022-03-30,41.349998474121094
2022-03-31,38.779998779296875
2022-04-01,36.290000915527344
2022-04-04,37.959999084472656
2022-04-05,32.880001068115234
2022-04-06,30.510000228881836
2022-04-07,30.510000228881836
2022-04-08,28.290000915527344
2022-04-11,26.489999771118164
2022-04-12,26.239999771118164
2022-04-13,28.030000686645508
2022-04-14,25.610000610351562
2022-04-18,26.979999542236328
2022-04-19,28.75
2022-04-20,28.5
2022-04-21,26.209999084472656
2022-04-22,24.450000762939453
2022-04-25,25.670000076293945
2022-04-26,22.43000030517578
2022-04-27,21.950000762939453
2022-04-28,25.579999923706055
2022-04-29,22.239999771118164
2022-05-02,24.5
2022-05-03,25.110000610351562
2022-05-04,28.020000457763672
2022-05-05,23.989999771118164
2022-05-06,23.350000381469727
2022-05-09,19.719999313354492
2022-05-10,21.09000015258789
2022-05-11,19.149999618530273
2022-05-12,19.40999984741211
2022-05-13,22.489999771118164
2022-05-16,21.3700008392334
2022-05-17,24.579999923706055
2022-05-18,20.850000381469727
2022-05-19,20.510000228881836
2022-05-20,20.360000610351562
2022-05-23,20.6299991607666
2022-05-24,19.100000381469727
2022-05-25,20.190000534057617
2022-05-26,22.540000915527344
2022-05-27,25.260000228881836
2022-05-31,24.860000610351562
2022-06-01,23.709999084472656
2022-06-02,26.200000762939453
2022-06-03,23.93000030517578
2022-06-06,23.90999984741211
2022-06-07,24.600000381469727
2022-06-08,22.90999984741211
2022-06-09,21.09000015258789
2022-06-10,18.809999465942383
2022-06-13,15.550000190734863
2022-06-14,15.760000228881836
2022-06-15,16.610000610351562
2022-06-16,13.569999694824219
2022-06-17,13.699999809265137
2022-06-21,14.800000190734863
2022-06-22,14.289999961853027
2022-06-23,14.010000228881836
2022-06-24,15.8100004196167
2022-06-27,15.800000190734863
2022-06-28,14.5600004196167
2022-06-29,13.550000190734863
2022-06-30,13.100000381469727
2022-07-01,11.600000381469727
2022-07-05,11.850000381469727
2022-07-06,12.09000015258789
2022-07-07,13.710000038146973
2022-07-08,13.90999984741211
2022-07-11,12.90999984741211
2022-07-12,12.970000267028809
2022-07-13,13.289999961853027
2022-07-14,14.069999694824219
2022-07-15,15.109999656677246
2022-07-18,14.920000076293945
2022-07-19,16.950000762939453
2022-07-20,18.200000762939453
2022-07-21,19.100000381469727
2022-07-22,17.649999618530273
2022-07-25,17.299999237060547
2022-07-26,16.43000030517578
2022-07-27,18.729999542236328
2022-07-28,19.3700008392334
2022-07-29,19.829999923706055
2022-08-01,20.010000228881836
2022-08-02,19.920000076293945
2022-08-03,21.549999237060547
2022-08-04,22.06999969482422
2022-08-05,21.559999465942383
2022-08-08,20.540000915527344
2022-08-09,17.690000534057617
2022-08-10,19.90999984741211
2022-08-11,19.780000686645508
2022-08-12,21.600000381469727
2022-08-15,21.780000686645508
2022-08-16,21.139999389648438
2022-08-17,19.549999237060547
2022-08-18,20.889999389648438
2022-08-19,19.170000076293945
2022-08-22,17.040000915527344
2022-08-23,17.329999923706055
