종가날짜,종가,현재 평단가,다음 매매 종류,가격,수량,현재 보유개수,어제 매수개수(양/음),현사이클 시작 $,잔금 $,플래그
2022-01-04,71.27,71.27,BUY 1,70.91,10,18,(+18 -0),10000.0,8713.93,강한 하락장 (VWAP매수 차단 ➔ LOC 몰빵매수 📉)
2022-01-04,71.27,71.27,BUY 2,69.49,10,18,(+18 -0),10000.0,8713.93,강한 하락장 (VWAP매수 차단 ➔ LOC 몰빵매수 📉)
2022-01-04,71.27,71.27,SELL 1,71.7,18,18,(+18 -0),10000.0,8713.93,강한 하락장 (VWAP매수 차단 ➔ LOC 몰빵매수 📉)
2022-01-05,64.0,69.58,BUY 1,63.68,11,24,(+6 -0),10000.0,8325.78,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-05,64.0,69.58,BUY 2,62.4,12,24,(+6 -0),10000.0,8325.78,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-05,64.0,69.58,SELL 1,64.39,6,24,(+6 -0),10000.0,8325.78,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-05,64.0,69.58,SELL 2,69.93,18,24,(+6 -0),10000.0,8325.78,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-06,65.33,71.27,BUY 1,65.01,11,18,(+0 -6),10000.0,8716.81,강한 상승장 (VWAP매도 차단 ➔ LOC 몰빵매도 📈)
2022-01-06,65.33,71.27,BUY 2,63.7,11,18,(+0 -6),10000.0,8716.81,강한 상승장 (VWAP매도 차단 ➔ LOC 몰빵매도 📈)
2022-01-06,65.33,71.27,SELL 1,65.73,18,18,(+0 -6),10000.0,8716.81,강한 상승장 (VWAP매도 차단 ➔ LOC 몰빵매도 📈)
2022-01-07,59.59,64.85,BUY 1,59.29,12,40,(+22 -0),10000.0,7402.56,강한 하락장 (VWAP매수 차단 ➔ LOC 몰빵매수 📉)
2022-01-07,59.59,64.85,BUY 2,58.1,12,40,(+22 -0),10000.0,7402.56,강한 하락장 (VWAP매수 차단 ➔ LOC 몰빵매수 📉)
2022-01-07,59.59,64.85,SELL 1,59.95,22,40,(+22 -0),10000.0,7402.56,강한 하락장 (VWAP매수 차단 ➔ LOC 몰빵매수 📉)
2022-01-07,59.59,64.85,SELL 2,65.17,18,40,(+22 -0),10000.0,7402.56,강한 하락장 (VWAP매수 차단 ➔ LOC 몰빵매수 📉)
2022-01-10,60.08,64.85,BUY 1,59.78,12,40,(+2 -2),10000.0,7404.63,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-10,60.08,64.85,BUY 2,58.58,12,40,(+2 -2),10000.0,7404.63,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-10,60.08,64.85,SELL 1,60.44,22,40,(+2 -2),10000.0,7404.63,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-10,60.08,64.85,SELL 2,65.17,18,40,(+2 -2),10000.0,7404.63,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-11,63.27,71.27,BUY 1,62.95,11,18,(+0 -22),10000.0,8788.26,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-11,63.27,71.27,BUY 2,61.69,12,18,(+0 -22),10000.0,8788.26,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-11,63.27,71.27,SELL 1,63.65,18,18,(+0 -22),10000.0,8788.26,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-12,64.45,71.27,BUY 1,64.13,11,10,(+0 -8),10000.0,9302.71,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-12,64.45,71.27,BUY 2,62.84,11,10,(+0 -8),10000.0,9302.71,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-12,64.45,71.27,SELL 1,64.84,10,10,(+0 -8),10000.0,9302.71,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-13,60.03,65.67,BUY 1,59.73,12,20,(+10 -0),10000.0,8700.54,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-13,60.03,65.67,BUY 2,58.53,12,20,(+10 -0),10000.0,8700.54,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-13,60.03,65.67,SELL 1,60.39,10,20,(+10 -0),10000.0,8700.54,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-13,60.03,65.67,SELL 2,66.0,10,20,(+10 -0),10000.0,8700.54,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-14,64.0,67.08,BUY 1,63.68,11,16,(+0 -4),10000.0,8954.87,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-14,64.0,67.08,BUY 2,62.4,12,16,(+0 -4),10000.0,8954.87,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-14,64.0,67.08,SELL 1,64.38,6,16,(+0 -4),10000.0,8954.87,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-14,64.0,67.08,SELL 2,67.41,10,16,(+0 -4),10000.0,8954.87,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-18,55.6,62.3,BUY 1,55.33,13,28,(+12 -0),10000.0,8282.16,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-18,55.6,62.3,BUY 2,54.21,13,28,(+12 -0),10000.0,8282.16,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-18,55.6,62.3,SELL 1,55.94,12,28,(+12 -0),10000.0,8282.16,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-18,55.6,62.3,SELL 2,62.61,6,28,(+12 -0),10000.0,8282.16,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-18,55.6,62.3,SELL 3,62.61,10,28,(+12 -0),10000.0,8282.16,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-19,50.78,56.75,BUY 1,50.52,14,54,(+26 -0),10000.0,6958.71,강한 하락장 (VWAP매수 차단 ➔ LOC 몰빵매수 📉)
2022-01-19,50.78,56.75,BUY 2,49.51,15,54,(+26 -0),10000.0,6958.71,강한 하락장 (VWAP매수 차단 ➔ LOC 몰빵매수 📉)
2022-01-19,50.78,56.75,SELL 1,51.08,26,54,(+26 -0),10000.0,6958.71,강한 하락장 (VWAP매수 차단 ➔ LOC 몰빵매수 📉)
2022-01-19,50.78,56.75,SELL 2,57.03,12,54,(+26 -0),10000.0,6958.71,강한 하락장 (VWAP매수 차단 ➔ LOC 몰빵매수 📉)
2022-01-19,50.78,56.75,SELL 3,57.03,6,54,(+26 -0),10000.0,6958.71,강한 하락장 (VWAP매수 차단 ➔ LOC 몰빵매수 📉)
2022-01-20,45.98,54.36,BUY 1,45.75,16,70,(+16 -0),10000.0,6216.01,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-20,45.98,54.36,BUY 2,44.83,16,70,(+16 -0),10000.0,6216.01,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-20,45.98,54.36,SELL 1,46.26,16,70,(+16 -0),10000.0,6216.01,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-20,45.98,54.36,SELL 2,54.63,26,70,(+16 -0),10000.0,6216.01,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-20,45.98,54.36,SELL 3,54.63,12,70,(+16 -0),10000.0,6216.01,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-21,43.71,52.23,BUY 1,43.49,17,88,(+18 -0),10000.0,5422.67,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-21,43.71,52.23,BUY 2,42.62,17,88,(+18 -0),10000.0,5422.67,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-21,43.71,52.23,SELL 1,43.97,18,88,(+18 -0),10000.0,5422.67,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-21,43.71,52.23,SELL 2,52.5,16,88,(+18 -0),10000.0,5422.67,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-21,43.71,52.23,SELL 3,52.5,26,88,(+18 -0),10000.0,5422.67,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-24,45.4,54.36,BUY 1,45.17,16,70,(+0 -18),10000.0,6231.56,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-24,45.4,54.36,BUY 2,44.26,16,70,(+0 -18),10000.0,6231.56,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-24,45.4,54.36,SELL 1,45.67,16,70,(+0 -18),10000.0,6231.56,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-24,45.4,54.36,SELL 2,54.63,26,70,(+0 -18),10000.0,6231.56,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-24,45.4,54.36,SELL 3,54.63,12,70,(+0 -18),10000.0,6231.56,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-25,40.19,53.98,BUY 1,39.99,18,72,(+2 -0),10000.0,6150.06,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-25,40.19,53.98,BUY 2,39.19,19,72,(+2 -0),10000.0,6150.06,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-25,40.19,53.98,SELL 1,40.43,2,72,(+2 -0),10000.0,6150.06,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-25,40.19,53.98,SELL 2,54.25,16,72,(+2 -0),10000.0,6150.06,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-25,40.19,53.98,SELL 3,54.25,26,72,(+2 -0),10000.0,6150.06,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-26,42.25,54.36,BUY 1,42.04,17,70,(+0 -2),10000.0,6233.77,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-26,42.25,54.36,BUY 2,41.19,18,70,(+0 -2),10000.0,6233.77,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-26,42.25,54.36,SELL 1,42.5,16,70,(+0 -2),10000.0,6233.77,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-26,42.25,54.36,SELL 2,54.63,26,70,(+0 -2),10000.0,6233.77,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-26,42.25,54.36,SELL 3,54.63,12,70,(+0 -2),10000.0,6233.77,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-27,36.32,51.05,BUY 1,36.13,20,86,(+16 -0),10000.0,5647.17,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-27,36.32,51.05,BUY 2,35.41,21,86,(+16 -0),10000.0,5647.17,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2022-01-27,36.32,51.05,SELL 1,36.53,16,86,(+16 -0),10000.0,5647.17,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
